ID,Cat Name (Alt),Evolved Name / True form,English Release / Obtain Status
105,Kuu,Kuu type?γ,Available in rare gacha - event limited
106,Kai,Kai type?μ,Available in rare gacha - event limited
107,Coppermine,Coppermine type?κ,Available in rare gacha - event limited
108,3 Brothers Cat,,"N/A, Graphic in-data, missing description"
109,Madam Bride,Madam King,"N/A, can be obtained in future event , playable"
110,Seresu,,"N/A, Graphic in-data, missing description"
111,Nono,,"N/A, Graphic in-data, missing description"
112,Oruga,,"N/A, Graphic in-data, missing description"
113,Norun,,"N/A, Graphic in-data, missing description"
114,Yoichi,,"N/A, Graphic in-data, missing description"
115,Seramu,,"N/A, Graphic in-data, missing description"
116,Fuu,,"N/A, Graphic in-data, missing description"
117,Aura,,"N/A, Graphic in-data, missing description"
118,Rei,,"N/A, Graphic in-data, missing description"
119,Wyburn,,"N/A, Graphic in-data, missing description"
120,More Warlock,,"N/A, Graphic in-data, missing description"
121,Merc,,"N/A, Graphic in-data, missing description"
122,Vacation Queen,Office Lady Cat,"N/A, can be obtained in future event , playable"
123,Bean Cats,Brah Cats,Obtained from friend code
124,Date Masamune,Wargod Masamune,Available in rare gacha - event limited
125,Takeda Shingen,Wargod Shingen,Available in rare gacha - event limited
126,Clockwork Cat,Puppetmaster Cat,Obtained as drop in time-limited stage
127,Flower Cat,Cooldown Cat,Obtain by opening backdrop door several times
128,Vengeful Cat,Groucho Cat,"N/A, Obtained as drop in time-limited stage"
129,Gold Cat,Gold Macho Cat,Available in rare gacha
130,Ururun Wolf,Ururun Cat,Can be obtained by clearing a certain Legend stage
131,Neneko,Super Neneko,Obtain in time-limited event
132,Kung Fu Cat X,Drunken Master Cat X,Obtain as drop in time-limited event
133,Hikakin,,"N/A, missing graphics and description"
134,Urashima Taro,Guardian Gamereon,Available in rare gacha - event limited
135,The Grateful Crane,Super Galaxy Cosmo,Available in rare gacha - event limited
136,Momotaro,The Peach Angels,Available in rare gacha - event limited
137,Kasa Jizo,Jizo's Moving Castle,Available in rare gacha - event limited
138,Princess Kaguya,The Death Moon,Available in rare gacha - event limited
139,Nekondo,,"N/A, missing description, playable"
140,Squish Ball Cat,Muscleman Cat,"N/A, playable"
141,God,Secret God,"N/A, playable"
142,Tutorial,,"N/A, missing graphics and description"
143,Nurse Cat,Heartful Nurse Cat,Available in rare gacha - event limited
144,Cat Base Mini,,"N/A, missing graphics and description"
145,Cat Gunslinger,,Available in rare gacha
146,Stilts cat,,Available in rare gacha
147,Tin Cat (lit: burikineko),,Available in rare gacha
148,Rocker Cat,,Available in rare gacha
149,Mer-Cat(Man-fish cat / lit: Neko nin-sakana),,Available in rare gacha
150,Juliet Cat,,Available in rare gacha
151,Weightlifter Cat,,Available in rare gacha
152,Figure Skating Cats,,Available in rare gacha
153,Cat Toaster,,Available in rare gacha
154,Hoop Cat (lit: Neko fuu-pu ),,Obtained as drop in time-limited stage
155,Chicken Cat (Nobenyan),,"N/A, missing graphics and description"
156,Drury Swordsman,,"N/A, missing some graphics, not playable"
157,Nubobo,,"N/A, missing graphics"
158,Uesugi Kenshin,,Available in rare gacha - event limited
159,Kalisa,,Available in rare gacha - event limited
160,ユーリンチー?(lit:Yu-rinchi-),???? (Golden Yurinchi),"N/A, missing graphics and description"
161,Crazed Kerihime,Crazed Kerihime CC,"N/A, missing graphics and description"
162,"Ayanokōji Shō?(綾小路 翔, Ayanokōji Shō, Show)",,"N/A, missing graphics and description"
163,"Saotome Hikaru?(早乙女 光, Saotome Hikaru, Hikaru)",,"N/A, missing graphics and description"
164,"Saionji Hitomi?(西園寺 瞳, Saionji Hitomi, Tommy)",,"N/A, missing graphics and description"
165,"Hoshi Guranmanie?(星 グランマニエ, Hoshi Guranmanie, Ranma)",,"N/A, missing graphics and description"
166,"Shiratori Shōchikubai?(白鳥 松竹梅, Shiratori Shōchikubai, Matsu)",,"N/A, missing graphics and description"
167,"Yankee Cat?(ネコヤンキー, Nekoyanke-)",,"N/A, missing graphics and description"
168,"Asiluga?(アシルガ, Ashiruga)",,Available in rare gacha - event limited
169,"Kubiluga?(クビルガ, Kubiruga)",,Available in rare gacha - event limited
170,"Tecoluga?(テコルガ, Tekoruga)",,Available in rare gacha - event limited
171,"Balaluga?(バララガ, Bararaga)",,Available in rare gacha - event limited
172,"Li'l Nyandam?(コニャンヅム, Ko(domo) Nyandum)",,Can be obtained by clearing a certain Legend stage
173,"Baby Mola（JP name: 厨房マンボウ, Chūbōmanbou, kitchen sunfish )",Youngman Mola,Available in rare gacha - event limited. The kitchen part can be read as Kid-hen (Kid of a hen / chicken = chicks).
174,"Mola King?(マンボ王, Manbou?, Sunfish King )",Living Legend,Available in rare gacha - event limited
175,"Meowla Meowla?(にゃんぼう, Nyanbou)",Catorpedo,Available as part of time limited collabs event
176,"Marshmallow Cat?(マシュマロにゃん, Mashumaronyan)",Gross-mallow cat,Available as part of time limited event
177,"Dioramos?(覇龍ディオラムス, Supreme Dragon Dioramusu)",Supreme Dragon King Dioramusu,Available in rare gacha - event limited
178,"Mob Cat(極道にゃんこ, Gokudonyanko)",,"N/A, Data exists, but no system slot assigned"
179,"タクヤとユキ (Lit: Takuya to Yuki,?Takuya & Yuki)",,N/A
180,"謎の少女ユキ (Lit: Nazo no shōjo Yuki,Mysterious Girl Yuki?)",,"Replaced into ""Dummy"" instead"
181,"ゆきにゃん (Lit: Yukinyan ,Snow Cat?)",,N/A
182,183-1,183-2,"Appears as buggy basic cat in BCJP, previously was filled by Mr.Ninja on BCEN. But later data download moves Mr.Ninja in BCEN to follow BCJP 184 thus this slow is empty on BCEN as well now."
183,Nyanko Kart R (Rare Cat),Nyanko Kart G,N/A
184,Mr.Ninja,Lily,"Not released yet, playable"
185,Harushuto,,N/A
186,Kooneria (Cornelia),,
187,Yuuvensu,,N/A
188,Misutika,,
189,Aroisu,,
190,Shitoruiyu,,N/A
191,Titi,,N/A
192,Yamaoka Minori?(山岡実乃里),Queen Minorin (クイーンみのりん),"Something about ""Gals Paradise 2015"""
193,Nakamura Kanae?(中村奏絵),Queen Kanī (クイーンかにー),"Something about ""Gals Paradise 2015"", too, please check PONOS' JP twitter page for more information"
194,Akira?(アキラ),Shadow Akira (シャドウ?アキラ),Available in rare gacha - event limited?(the first anti-alien cat)
195,Saionji Meka-ko?(西園寺メカ子 Saionji meka-ko),Doctor Dr. Meka-ko (ドクトルDr.メカ子),Available in rare gacha - event limited
196,"Cat Man Father?(キャットマンダディ Kyattomandadi,?Cat Man Daddy??)","? (キャットマンダーク kyattoman daaku, Cat Man Dark?)",Available in rare gacha - event limited
197,Psychic Cat?(サイキックネコ saikikku neko),Neo Psychic Cat (ネオサイキックネコ neo saikikku neko),Available in rare gacha (like Green Hill and Neo Green Hill)
198,Onmyouji Cat?(ねこ陰陽師),Magical Girl Cat (魔法少女ねこ mahou shoujo neko),Available in rare gacha (any anime reference?)
199,Surfer Cat?(ネコサーファー?Nekosāfā),Drifting Cat (ネコ漂流),Available in rare gacha
200,Metal Cat,Metal Macho Cat,unknown (a Cat Unit with Metal Enemy's ability)
201,Drum Band Cat?(ドラムメニャー doramumenyaa),Placard Cat (プラカードにゃん?Purakādo nyan),treasure drop in Space Cyclone Stage
202,"Little Basket Dumpling Cat?(小籠包にゃんこ?Shōronpō nyan ko, Alt: Chi(isai)kagotsutumi-nyanko)","Large Basket Dumpling Cat (大籠包にゃんこ??gomori tsutsumi nya n ko, Alt: Da(i)kagotsutumi-nyanko)","unknown (this Cat comes from BCCN), Expected EN name would be basket-dumpling cat and large basket-dumpling cat OR simply dim-sum cat and large dim-sum cat"
